tmdbId,title,overview,tagline,genres,runtime,release_date,language,vote_average,vote_count,popularity,cast,crew,keywords,reviews
15314.0,Mini's First Time,"Desperate to be free from her drunken, unloving mother Diane, the beautiful, scheming young Mini seduces her stepfather Martin and soon convinces him to join her in a sadistic scheme to have Diane declared insane. But their conspiracy soon escalates to murder and when John Garson, a young detective starts investigating, Martin and Mini begin to turn on each other.",Sex. Murder. Blackmail. There's a first time for everything.,"Comedy, Crime, Drama",91.0,2006-07-14,en,5.606,122.0,1.0876,"Alec Baldwin, Nikki Reed, Jeff Goldblum, Luke Wilson, Joe Egender","Nick Guthe, Nick Guthe","lolita, blackmail, dark comedy, stepdaughter, escort service, dysfunctional family, murder, teenage girl, older man younger woman relationship, teenage sexuality, prescription drug abuse, alcoholic mother, young girl seduces old man",
425751.0,The Hero,"Lee, a former Western film icon, is living a comfortable existence lending his golden voice to advertisements and smoking weed. After receiving a lifetime achievement award and unexpected news, Lee reexamines his past, while a chance meeting with a sardonic comic has him looking to the future.",,Drama,97.0,2017-06-09,en,6.118,237.0,1.0777,"Sam Elliott, Laura Prepon, Nick Offerman, Krysten Ritter, Katharine Ross","Brett Haley, Brett Haley, Marc Basch","comedian, marijuana, cancer, older man younger woman relationship, drugs, audition, aging actor, divorced man, divorced father, award, estranged daughter","**The tale of an aging iconic actor!**

This film is kind of honours Sam Elliott for his real life achievement. Anyway, he was phenomenal. The film was realistic, so most of the parts were slow moving. This is about an aging film actor, who has not worked on any projects recently. So desperate to get one, but sad news brings a speed breaker to his life. Now confused him, does not know how to approach the rest of the life. He starts with his family to fix the past mistake. The remaining tale focused on his other things.

It was Sam Elliott's major role in decades. This should be watched for him considering his real life as an actor. It will be a good film for those who have seen his old films, particularly westerns. The actor who did not just survived because of his iconic mustache and golden voice, but have given fine performances too. This was a too simple film. It do has emotions, but not appealing enough. I might slightly rated it low, but the film is good, at least for once watching.

_6/10_"
430830.0,Nobody Speak: Trials of the Free Press,The courtroom and publicity battles between the superstar wrestler and the notorious website explode in a sensational trial all about the limits of the First Amendment and the new no holds barred nature of celebrity life in an internet dominated society.,The power of money to silence a free press.,Documentary,95.0,2017-01-24,en,6.042,83.0,0.3153,"Terry Gene Bollea, Donald Trump, Nick Denton, James G Wright","Brian Knappenberger, Brian Knappenberger",,
260514.0,Cars 3,"Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!","From this moment, everything will change.","Family, Comedy, Adventure, Animation",102.0,2017-06-15,en,6.9,6069.0,10.5547,"Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion, Larry the Cable Guy",Brian Fee,"sports, trainer, villain, sequel, anthropomorphism, travel, racing, high tech, aftercreditsstinger","**The new age begins!**

Having seen enough animated feature that possible eligible for the 2018 Oscars, I'm really disappointed with the result of some of the big titles. Yes, including this one, not big films, except 'Coco' are up to any impressive. The bright side is, after a long time, 2D animation might win. This was an okay film. Though I liked the story outline, but did not like how it all was narrated.

I have seen the evolution of 'Harry Potter'. I meant the cast, particularly the main three. For a decade, the little kids grew into older teenagers. But for an animation character, there's no concept of ageing. They always remain same. This film just gave a new perspective. I mean it talked about being or growing old and how it impacts our lives. That we can't hold forever our safe position. Sooner or later, the youngsters will take over it.

McQueen is enjoying his racing, competing with his friendly opponents. But it all changes when a young rookie rewrites the history. Without able to cope with the new generation and their aggression, how McQueen and Co like to counter the latest threat is the film's story. Liked such inspiring storyline. I mean it would inspire more the middle aged people than anybody else. But it is a fun film for all ages, particularly the kids. It is just like turning 'Rambo' into 'Creed', I just want a new beginning in the next sequel.

_7/10_ || A worthy follow up to the original film, miles better than Cars 2.  They wisely focus the action back on Lightnin' McQueen and keep Mater to a bare minimum.  It's not going to change lives, but a solid animated feature nonetheless.  Even when Pixar is coasting they still deliver a very pretty looking film, albeit a little shallow.

One thing bugs me though, why in a world of anthropomorphic vehicles, with no signs of humans, do they have door handles...? || I agree <em>'Cars 3'</em> improves upon <em>'Cars 2'</em>, not by much though.

The story for this does feel more rounded than the preceding film, even if it ends rather lamely. The whole production builds up around Lightning McQueen, rightly, before strangely having a conclusion that focuses on newbie Cruz Ramirez. I like the idea of what they were going for, but the way the do it is actually quite poor - it feels too forced, as well as chucking most of the development for McQueen across acts one and two out the window.

With that said, it isn't a massive hindrance. I still had a fun time with this. Owen Wilson remains good as McQueen, while Cristela Alonzo gives an accomplished performance as Ramirez. One thing I do rate about Alonzo is that Disney didn't go down the obvious, lovey-dovey route with her. 

None of the rest of the cast standout all that much, though it's cool to hear Kerry Washington as Natalie Certain. Mater (Larry the Cable Guy) is arguably underused, which is weird as he is overused in the 2011 sequel - they don't seem to know how to fit him in ideally.

The overall premise itself is interesting, while the animation remains in top gear. The ending doesn't fit perfectly for me, but I can still recommend that you give this a viewing."
455601.0,Maria Bamford: Old Baby,She's savagely upbeat. Lovably awkward. And full of surprises. A wildly funny trip through a one-of-a-kind comic mind.,,"Comedy, Documentary",64.0,2017-05-02,en,5.196,23.0,0.102,Maria Bamford,"Jessica Yu, Maria Bamford",,
20211.0,Robin Williams: Live on Broadway,"2002 HBO Stand-up Special starring Robin Williams. Recorded and broadcast live from New Your City's Broadway Theater at the culmination of his historic 2002 sold-out tour, this special finds the Oscar-winning actor/writer/comedian returning after 16 years to his stand-up roots to deliver what the Washington Post calls ""...in its madcap way, a seminal cultural event.""",Real Time. Real Risk. Real Raw.,"Comedy, TV Movie, Documentary",99.0,2002-07-14,en,7.6,74.0,0.3858,Robin Williams,"Marty Callner, Robin Williams",,
371859.0,The Death of Louis XIV,"August 1715. After going for a walk, Louis XIV feels a pain in his leg. The next days, the king keeps fulfilling his duties and obligations, but his sleep is troubled and he has a serious fever. He barely eats and weakens increasingly. This is the start of the slow agony of the greatest king of France, surrounded by his relatives and doctors.",,"Drama, History",115.0,2016-11-02,fr,6.5,93.0,0.7139,"Jean-Pierre Léaud, Patrick d'Assumçao, Marc Susini, Bernard Belin, Irène Silvagni",Albert Serra,"biography, old man, king, 18th century, louis xiv","I was wondering, as I watched this, just how the last few days of Queen Elizabeth II - herself reigning for almost as long - might have looked in comparison with this depiction of the last few days of the acclaimed 'Sun King"". Somehow, I doubt she would have been surrounded by quite such a grouping of acolytes and sycophants. Such a collection of quacks and hangers-on riddled with an obsequiousness that would have made ""Obadiah Slope"" blush. The King has taken to his bed, at the age of 76, suffering from acute pains in his leg. Perched, rather uncomfortably, and adorned with a wig that would not have looked out of place on a lion, we spend the next few days watching this once great, stylish, flamboyant and shrewd man edge towards his meeting with his maker. Jean-Pierre Léaud doesn't really have a great deal to do here - occasionally sip some wine, or eat a biscuit, or take a short stroll around his couch. For the most part he lies there, breathing heavily, allowing the establishment around him to gradually unravel. His long-term lover Mme. de Maintenon (Irène Silvagni) is his principal source of comfort, Marc Susini his valet - a far grander role than the title suggests, tries to keep him contented and a collection of doctors all busy themselves about him - largely without the faintest idea of what is actually wrong much less how to treat their ailing monarch. If you are looking for something with pace, then this is certainly not for you. What Albert Serra delivers here is almost like a fly-on-the-wall documentary depicting the decline not just of the man, but of everything his life has stood for. The costumes look great and film relies on a lighting regime that is entirely plausible - if a little lacking in lux at times. The audio could maybe have been doing with a bit of a boost, but the serene effort from Léaud and the scenario itself provides adequate compensation as we, quite literally, watch the end of an era. On balance, I reckon the late Queen probably had a more private, and medically more competent, time of it...."
19625.0,Munna Bhai M.B.B.S.,A gangster sets out to fulfill his father's dream of becoming a doctor.,He Might Just Cure You,"Comedy, Drama",156.0,2003-12-19,hi,7.186,317.0,0.8006,"Sanjay Dutt, Arshad Warsi, Boman Irani, Gracy Singh, Sunil Dutt",Rajkumar Hirani,"medicine, hospital",
399019.0,The Beguiled,"During the Civil War, at a Southern girls’ boarding school, young women take in an injured enemy soldier. As they provide refuge and tend to his wounds, the house is taken over with sexual tension and dangerous rivalries, and taboos are broken in an unexpected turn of events.","Innocent, until betrayed.",Drama,93.0,2017-06-23,en,5.9,2171.0,2.0435,"Colin Farrell, Nicole Kidman, Kirsten Dunst, Elle Fanning, Oona Laurence",Sofia Coppola,"based on novel or book, remake, sexual tension, period drama, union soldier, virginia, american civil war, woman director, confederacy, 19th century, girls' school","**The lust and the destruction!**

I neither read the book, nor seen the original film. It was a small slice of the American civil war. But did not focused on the actual war. A fictional drama that followed an injured soldier who sheltered in a girls school was looked after well by the stayed back teachers and students. While he was recovering, fallen in love with one of the women. But everybody else too had a little crush on him since he's the one man around. That causes a bump, following a twist in the tale, all comes to halt.

A simple and nice drama. Best picks for the roles. But Kristen Dunst did not sync-in with the rest of the girls. Nice clothings too, a perfect recreation of the mid 19th century. I enjoyed it, good for watching at once, but I bet those who watched both the version would go for the old one. Especially for Clint Eastwood. Though Colin Ferrell was not bad in this. Not the best film from Sofia Coppola compared with her others, definitely not worst either.

**7/10** || A well acted Civil War drama, but one that perhaps would have played better on the stage of a theatre than the screen of a cinema.

_Final rating:★★½ - Had a lot that appealed to me, didn’t quite work as a whole._"
339403.0,Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",All you need is one killer track.,"Action, Crime",113.0,2017-06-28,en,7.446,16140.0,11.0236,"Ansel Elgort, Kevin Spacey, Lily James, Jon Hamm, Jamie Foxx","Edgar Wright, Edgar Wright","robbery, waitress, atlanta, crime boss, romance, heist, getaway car, on the run, shootout, bank robbery, getaway driver, sign languages, armed robbery, aggressive, hearing impaired, joyful, urgent","This was the most fun I’ve had watching a movie in a long time. It has everything I’m looking for in a summer blockbuster: nonstop action, amazing soundtrack (best soundtrack of the year), and hilariously funny. Oh and it’s an Edgar Wright film which has never been a let down. I’ve never seen the star, Ansel Elgort, in anything before but I know he was in the running to play Han Solo and now I’m extremely sad he didn’t make the cut – he even dresses like Solo for most of the film. Read more of my review here: https://imdgflicks.wordpress.com/2017/06/30/baby-driver-is-the-best-music-video-since-tron-legacy/ || Let it never be said that ""Overrated"" equates to ""Bad"".

_Final rating:★★★½ - I really liked it. Would strongly recommend you give it your time._ || **Don't mess with this Baby!**

One of the stylish film of the year. There's nothing special about the story, but the way it was made looks intriguing. The individual characters, music, stunts, obviously car chases. Not the best role Ansel Elgort has ever played, but in his short, beginning of the career, it quite possibly defines he's ready for the tough roles. Then the British filmmaker known for some wonderful action-comedies, one more addition to his hit kit.

A youngster who is a getaway car driver for heists, working under a criminal mastermind, is often teamed with a different crew. One of his latest job takes an unexpected twist, leaving his yet to bloom romance with a waitress in peril. His attempt to come out of that, the risk he takes, changes his life forever. The tale ends with an action packed finale.

This is the first Kevin Spacey film I'm seeing after all the allegation against him. I blame everyone equally who had let him do it all these years. But that's nothing to do with this film. He was fine as an actor as always. It's just fine to be as one-off film, but the way everything had happened looked like it could have been a great franchise. As of latest news, it is on. The sad part is, all the good characters won't return. Anyway, it is one of the must see from the year T17.

_8/10_"
